timestamp,sensor_id,humidity_rad,temp_rad,humidity_room,temp_room,temperature (outdoor)
4/3/2025 21:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 21:55,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 22:55,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:05,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:15,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:25,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:35,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:45,room,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/3/2025 23:55,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:05,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:15,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:25,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:35,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:45,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 0:55,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:06,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:16,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:26,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:36,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:46,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 1:56,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:06,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:16,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:26,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:36,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:43,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:46,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:53,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 2:56,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:03,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:06,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:13,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:16,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:23,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:26,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:33,radiator,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:36,room,#N/A,#N/A,#N/A,#N/A,
4/4/2025 3:43,radiator,#N/A,#N/A,#N/A,#N/A,
