Unix Time,Eastern Time,Occupancy
1745436900,2025-04-23 15:35:00,0
1745436960,2025-04-23 15:36:00,0
1745437020,2025-04-23 15:37:00,0
1745437080,2025-04-23 15:38:00,0
1745437140,2025-04-23 15:39:00,0
1745437200,2025-04-23 15:40:00,0
1745437260,2025-04-23 15:41:00,0
1745437320,2025-04-23 15:42:00,0
1745437380,2025-04-23 15:43:00,0
1745437440,2025-04-23 15:44:00,0
1745437500,2025-04-23 15:45:00,0
1745437560,2025-04-23 15:46:00,0
1745437620,2025-04-23 15:47:00,0
1745437680,2025-04-23 15:48:00,0
1745437740,2025-04-23 15:49:00,0
1745437800,2025-04-23 15:50:00,0
1745437860,2025-04-23 15:51:00,0
1745437920,2025-04-23 15:52:00,0
1745437980,2025-04-23 15:53:00,0
1745438040,2025-04-23 15:54:00,0
1745438100,2025-04-23 15:55:00,0
1745438160,2025-04-23 15:56:00,0
1745438220,2025-04-23 15:57:00,0
1745438280,2025-04-23 15:58:00,0
1745438340,2025-04-23 15:59:00,0
1745438400,2025-04-23 16:00:00,0
1745438460,2025-04-23 16:01:00,0
1745438520,2025-04-23 16:02:00,0
1745438580,2025-04-23 16:03:00,0
1745438640,2025-04-23 16:04:00,0
1745438700,2025-04-23 16:05:00,0
1745438760,2025-04-23 16:06:00,0
1745438820,2025-04-23 16:07:00,0
1745438880,2025-04-23 16:08:00,0
1745438940,2025-04-23 16:09:00,0
1745439000,2025-04-23 16:10:00,0
1745439060,2025-04-23 16:11:00,0
1745439120,2025-04-23 16:12:00,0
1745439180,2025-04-23 16:13:00,0
1745439240,2025-04-23 16:14:00,0
1745439300,2025-04-23 16:15:00,0
1745439360,2025-04-23 16:16:00,0
1745439420,2025-04-23 16:17:00,0
1745439480,2025-04-23 16:18:00,0
1745439540,2025-04-23 16:19:00,0
1745439600,2025-04-23 16:20:00,0
1745439660,2025-04-23 16:21:00,0
1745439720,2025-04-23 16:22:00,0
1745439780,2025-04-23 16:23:00,0
1745439840,2025-04-23 16:24:00,0
1745439900,2025-04-23 16:25:00,0
1745439960,2025-04-23 16:26:00,0
1745440020,2025-04-23 16:27:00,0
1745440080,2025-04-23 16:28:00,0
1745440140,2025-04-23 16:29:00,0
1745440200,2025-04-23 16:30:00,0
1745440260,2025-04-23 16:31:00,0
1745440320,2025-04-23 16:32:00,0
1745440380,2025-04-23 16:33:00,0
1745440440,2025-04-23 16:34:00,0
1745440500,2025-04-23 16:35:00,0
1745440560,2025-04-23 16:36:00,0
1745440620,2025-04-23 16:37:00,0
1745440680,2025-04-23 16:38:00,0
1745440740,2025-04-23 16:39:00,0
1745440800,2025-04-23 16:40:00,0
1745440860,2025-04-23 16:41:00,0
1745440920,2025-04-23 16:42:00,0
1745440980,2025-04-23 16:43:00,0
1745441040,2025-04-23 16:44:00,0
1745441100,2025-04-23 16:45:00,0
1745441160,2025-04-23 16:46:00,0
1745441220,2025-04-23 16:47:00,0
1745441280,2025-04-23 16:48:00,0
1745441340,2025-04-23 16:49:00,0
1745441400,2025-04-23 16:50:00,0
1745441460,2025-04-23 16:51:00,0
1745441520,2025-04-23 16:52:00,0
1745441580,2025-04-23 16:53:00,0
1745441640,2025-04-23 16:54:00,0
1745441700,2025-04-23 16:55:00,0
1745441760,2025-04-23 16:56:00,0
1745441820,2025-04-23 16:57:00,0
1745441880,2025-04-23 16:58:00,0
1745441940,2025-04-23 16:59:00,0
1745442000,2025-04-23 17:00:00,0
1745442060,2025-04-23 17:01:00,0
1745442120,2025-04-23 17:02:00,0
1745442180,2025-04-23 17:03:00,0
1745442240,2025-04-23 17:04:00,0
1745442300,2025-04-23 17:05:00,0
1745442360,2025-04-23 17:06:00,0
1745442420,2025-04-23 17:07:00,0
1745442480,2025-04-23 17:08:00,0
1745442540,2025-04-23 17:09:00,0
1745442600,2025-04-23 17:10:00,0
1745442660,2025-04-23 17:11:00,0
1745442720,2025-04-23 17:12:00,0
1745442780,2025-04-23 17:13:00,0
1745442840,2025-04-23 17:14:00,0
1745442900,2025-04-23 17:15:00,0
1745442960,2025-04-23 17:16:00,0
1745443020,2025-04-23 17:17:00,0
1745443080,2025-04-23 17:18:00,0
1745443140,2025-04-23 17:19:00,0
1745443200,2025-04-23 17:20:00,0
1745443260,2025-04-23 17:21:00,0
1745443320,2025-04-23 17:22:00,0
1745443380,2025-04-23 17:23:00,0
1745443440,2025-04-23 17:24:00,0
1745443500,2025-04-23 17:25:00,0
1745443560,2025-04-23 17:26:00,0
1745443620,2025-04-23 17:27:00,0
1745443680,2025-04-23 17:28:00,0
1745443740,2025-04-23 17:29:00,0
1745443800,2025-04-23 17:30:00,0
1745443860,2025-04-23 17:31:00,0
1745443920,2025-04-23 17:32:00,0
1745443980,2025-04-23 17:33:00,0
1745444040,2025-04-23 17:34:00,0
1745444100,2025-04-23 17:35:00,0
1745444160,2025-04-23 17:36:00,0
1745444220,2025-04-23 17:37:00,0
1745444280,2025-04-23 17:38:00,0
1745444340,2025-04-23 17:39:00,0
1745444400,2025-04-23 17:40:00,0
1745444460,2025-04-23 17:41:00,0
1745444520,2025-04-23 17:42:00,0
1745444580,2025-04-23 17:43:00,0
1745444640,2025-04-23 17:44:00,0
1745444700,2025-04-23 17:45:00,0
1745444760,2025-04-23 17:46:00,0
1745444820,2025-04-23 17:47:00,0
1745444880,2025-04-23 17:48:00,0
1745444940,2025-04-23 17:49:00,0
1745445000,2025-04-23 17:50:00,0
1745445060,2025-04-23 17:51:00,0
1745445120,2025-04-23 17:52:00,0
1745445180,2025-04-23 17:53:00,0
1745445240,2025-04-23 17:54:00,0
1745445300,2025-04-23 17:55:00,0
1745445360,2025-04-23 17:56:00,0
1745445420,2025-04-23 17:57:00,0
1745445480,2025-04-23 17:58:00,0
1745445540,2025-04-23 17:59:00,0
1745445600,2025-04-23 18:00:00,1
1745445660,2025-04-23 18:01:00,1
1745445720,2025-04-23 18:02:00,1
